"filename", "language", "XML", "Batch", "HTML", "YAML", "SQL", "JavaScript", "CSS", "Java", "JSON", "Java Properties", "comment", "blank", "total"
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\User\AddUserServlet.java", "Java", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 2, 10, 66
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\User\DeleteUserServlet.java", "Java", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 8, 36
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\User\UpdateUserServlet.java", "Java", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 2, 21, 106
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\bill\AddBillServlet.java", "Java", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 1, 13, 65
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\cart\AddCartServlet.java", "Java", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 15, 75
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\cart\DeleteCartServlet.java", "Java", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\java\com\example\demo\servlet\cart\UpdateCartServlet.java", "Java", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\GioHangEntity.hbm.xml", "XML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\HoaDonEntity.hbm.xml", "XML", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\resources\META-INF\beans.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
