"filename", "language", "XML", "JSON", "CSS", "HTML", "JavaScript", "Java", "YAML", "SQL", "comment", "blank", "total"
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\index_backup.jsp", "HTML", 0, 0, 0, 520, 0, 0, 0, 0, 3, 57, 580
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\customerInfomationPage.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 1, 6, 36
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\customerPage.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 2, 4, 28
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\menuManagerPage.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 3, 4, 25
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\script.js", "JavaScript", 0, 0, 0, 0, 41, 0, 0, 0, 4, 13, 58
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\js\userManagerPage.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 3, 2, 23
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\login.jsp", "HTML", 0, 0, 0, -18, 0, 0, 0, 0, 0, -1, -19
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\managerIndex.jsp", "HTML", 0, 0, 0, 548, 0, 0, 0, 0, 4, 67, 619
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\menuManagement.jsp", "HTML", 0, 0, 0, 331, 0, 0, 0, 0, 0, 60, 391
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\menuPage.jsp", "HTML", 0, 0, 0, 272, 0, 0, 0, 0, 0, 40, 312
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\paymentOrderPage.jsp", "HTML", 0, 0, 0, 164, 0, 0, 0, 0, 0, 31, 195
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\register.jsp", "HTML", 0, 0, 0, -20, 0, 0, 0, 0, 0, -1, -21
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\user.jsp", "HTML", 0, 0, 0, -29, 0, 0, 0, 0, 0, 0, -29
"c:\Users\ADMIN\OneDrive\Desktop\DeadlineRestaurat\src\main\webapp\userManagement.jsp", "HTML", 0, 0, 0, 317, 0, 0, 0, 0, 0, 68, 385
"Total", "-", 379, 6, 2716, 3628, 128, 593, 5, 1, 167, 1313, 8936
